Voter,Question,Hebrew,Russian,Japanese,Thai,Chinese,Tamil,Latin,Hindi
27,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
28,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
29,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
30,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
31,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
32,ida8bqy4xp5417p/23,0,0,1,1,1,0,1,0
33,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
34,ida8bqy4xp5417p/23,1,1,1,1,1,0,0,0
35,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
36,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,1
37,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
38,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
39,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
40,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
41,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
42,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
43,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
44,ida8bqy4xp5417p/23,0,0,0,0,1,0,0,0
45,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
46,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
47,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
48,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
49,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
50,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
51,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
52,ida8bqy4xp5417p/23,0,0,0,1,1,0,0,0
53,ida8bqy4xp5417p/23,0,0,0,1,0,0,0,0
54,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
55,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
56,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
57,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
58,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
59,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
60,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
61,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
62,ida8bqy4xp5417p/23,1,1,1,1,1,0,1,0
63,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
64,ida8bqy4xp5417p/23,0,1,1,0,0,0,0,1
65,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
66,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
67,ida8bqy4xp5417p/23,1,0,1,0,1,0,0,0
68,ida8bqy4xp5417p/23,1,0,1,0,0,0,1,0
69,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
70,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
71,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
72,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
73,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
74,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
75,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
76,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
77,ida8bqy4xp5417p/23,1,0,0,0,1,0,0,0
78,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
79,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
80,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
81,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
82,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
83,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
84,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
85,ida8bqy4xp5417p/23,0,0,1,1,1,1,0,0
86,ida8bqy4xp5417p/23,0,0,1,0,1,0,1,0
87,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
88,ida8bqy4xp5417p/23,1,0,1,1,1,0,0,0
89,ida8bqy4xp5417p/23,0,0,1,1,1,0,1,0
90,ida8bqy4xp5417p/23,1,1,1,1,1,0,1,0
91,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,1
92,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
93,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
94,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
95,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
96,ida8bqy4xp5417p/23,0,0,1,0,0,0,0,0
97,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
98,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
99,ida8bqy4xp5417p/23,0,1,0,0,1,0,0,0
100,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
101,ida8bqy4xp5417p/23,0,0,0,0,1,0,0,0
102,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
103,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
104,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
105,ida8bqy4xp5417p/23,0,0,1,0,1,0,1,0
106,ida8bqy4xp5417p/23,0,0,1,1,1,0,0,0
107,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
108,ida8bqy4xp5417p/23,0,0,1,0,1,0,0,0
0,p8x7qrx57foej2v/17,1,1,0,0,0,1,1,1
1,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
2,p8x7qrx57foej2v/17,0,0,1,1,1,0,0,0
3,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
4,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,1
5,p8x7qrx57foej2v/17,1,0,0,1,0,0,0,0
6,p8x7qrx57foej2v/17,0,0,0,1,0,0,0,0
7,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
8,p8x7qrx57foej2v/17,0,0,0,0,0,1,1,1
9,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
10,p8x7qrx57foej2v/17,1,0,0,0,0,1,1,1
11,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
12,p8x7qrx57foej2v/17,1,0,0,0,0,1,1,1
13,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
14,p8x7qrx57foej2v/17,1,1,0,0,0,0,1,0
15,p8x7qrx57foej2v/17,1,1,0,0,0,1,1,0
16,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
17,p8x7qrx57foej2v/17,1,0,0,0,0,1,1,0
18,p8x7qrx57foej2v/17,1,0,0,1,0,0,0,0
19,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,1
20,p8x7qrx57foej2v/17,1,0,0,0,1,0,1,0
21,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,0
22,p8x7qrx57foej2v/17,1,1,0,0,0,0,0,0
23,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
24,p8x7qrx57foej2v/17,1,1,0,0,0,0,1,0
25,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
26,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
27,p8x7qrx57foej2v/17,1,1,1,0,0,0,1,0
28,p8x7qrx57foej2v/17,1,1,0,0,0,0,1,0
29,p8x7qrx57foej2v/17,1,0,0,1,0,0,0,0
30,p8x7qrx57foej2v/17,1,1,0,0,0,1,1,1
31,p8x7qrx57foej2v/17,1,1,0,0,0,1,0,0
32,p8x7qrx57foej2v/17,1,1,0,1,0,0,1,0
33,p8x7qrx57foej2v/17,1,1,0,1,1,0,0,0
34,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
35,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
36,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
37,p8x7qrx57foej2v/17,1,1,0,0,0,1,1,1
38,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
39,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
40,p8x7qrx57foej2v/17,0,0,0,0,0,1,0,1
41,p8x7qrx57foej2v/17,0,0,0,1,0,1,0,1
42,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
43,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,1
44,p8x7qrx57foej2v/17,1,1,0,0,0,1,0,1
45,p8x7qrx57foej2v/17,0,1,0,0,1,0,1,1
46,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
47,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
48,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,1
49,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
50,p8x7qrx57foej2v/17,1,1,0,0,0,0,1,0
51,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
52,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
53,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
54,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
55,p8x7qrx57foej2v/17,1,1,0,0,0,1,1,1
56,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
57,p8x7qrx57foej2v/17,1,1,0,0,0,0,0,1
58,p8x7qrx57foej2v/17,0,0,0,0,0,0,1,0
59,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
60,p8x7qrx57foej2v/17,0,0,0,1,0,0,0,0
61,p8x7qrx57foej2v/17,1,0,1,1,1,0,0,0
62,p8x7qrx57foej2v/17,1,1,1,1,1,0,1,0
63,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,1
64,p8x7qrx57foej2v/17,0,0,0,0,1,0,0,0
65,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
66,p8x7qrx57foej2v/17,0,0,0,0,0,0,0,1
67,p8x7qrx57foej2v/17,0,0,0,1,0,1,0,1
68,p8x7qrx57foej2v/17,1,1,1,1,1,0,1,0
69,p8x7qrx57foej2v/17,0,1,1,1,0,0,0,0
70,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,0
71,p8x7qrx57foej2v/17,1,0,0,0,0,1,1,1
72,p8x7qrx57foej2v/17,1,1,0,0,0,0,1,0
73,p8x7qrx57foej2v/17,1,1,0,0,0,0,0,0
74,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
75,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
76,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,1
77,p8x7qrx57foej2v/17,1,0,0,1,1,0,1,0
78,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,1
79,p8x7qrx57foej2v/17,1,0,0,1,0,1,1,1
80,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
81,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
82,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
83,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,1
84,p8x7qrx57foej2v/17,0,0,0,0,0,0,1,0
85,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
86,p8x7qrx57foej2v/17,0,1,1,1,1,0,0,0
87,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,1
88,p8x7qrx57foej2v/17,1,0,0,1,0,1,0,1
89,p8x7qrx57foej2v/17,0,1,1,1,1,1,1,0
90,p8x7qrx57foej2v/17,1,1,1,1,1,0,1,0
91,p8x7qrx57foej2v/17,1,0,0,1,0,1,1,1
92,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
93,p8x7qrx57foej2v/17,1,1,1,1,0,0,1,0
94,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
95,p8x7qrx57foej2v/17,1,0,0,1,0,0,1,0
96,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
97,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
98,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
99,p8x7qrx57foej2v/17,1,0,0,0,0,0,1,0
100,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
101,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
102,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
103,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,1
104,p8x7qrx57foej2v/17,1,0,0,0,0,1,0,0
105,p8x7qrx57foej2v/17,1,1,1,1,0,0,1,0
106,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
107,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,1
108,p8x7qrx57foej2v/17,1,0,0,0,0,0,0,0
0,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,1
1,lje1kpehfxsqxg6/3,1,0,0,1,0,1,0,1
2,lje1kpehfxsqxg6/3,0,0,1,1,1,0,0,0
3,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
4,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,1
5,lje1kpehfxsqxg6/3,0,0,1,1,0,0,0,0
6,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
7,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
8,lje1kpehfxsqxg6/3,1,0,0,0,0,1,1,1
9,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,0
10,lje1kpehfxsqxg6/3,1,0,0,1,0,1,1,1
11,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,1
12,lje1kpehfxsqxg6/3,1,0,0,1,0,1,1,1
13,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,0
14,lje1kpehfxsqxg6/3,0,1,0,1,0,0,1,0
15,lje1kpehfxsqxg6/3,1,1,0,1,0,1,1,0
16,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
17,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,0
18,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,0
19,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,1
20,lje1kpehfxsqxg6/3,1,0,0,1,0,0,1,0
21,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
22,lje1kpehfxsqxg6/3,0,1,0,0,0,0,0,1
23,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,0
24,lje1kpehfxsqxg6/3,1,1,0,0,0,0,1,0
25,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,0
26,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
27,lje1kpehfxsqxg6/3,0,0,1,1,1,0,0,0
28,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
29,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
30,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,1
31,lje1kpehfxsqxg6/3,1,1,0,0,0,0,0,1
32,lje1kpehfxsqxg6/3,1,1,0,1,0,0,1,0
33,lje1kpehfxsqxg6/3,1,1,0,1,0,1,1,1
34,lje1kpehfxsqxg6/3,1,0,0,1,0,0,1,0
35,lje1kpehfxsqxg6/3,0,1,0,1,0,1,0,1
36,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,1
37,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,1
38,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
39,lje1kpehfxsqxg6/3,0,1,0,0,0,0,1,0
40,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,1
41,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
42,lje1kpehfxsqxg6/3,1,0,0,1,0,0,1,0
43,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,1
44,lje1kpehfxsqxg6/3,1,1,0,0,0,0,0,0
45,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,1
46,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
47,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
48,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
49,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,1
50,lje1kpehfxsqxg6/3,1,0,0,1,0,0,1,0
51,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,1
52,lje1kpehfxsqxg6/3,0,0,0,0,0,0,1,0
53,lje1kpehfxsqxg6/3,0,0,0,0,0,0,1,0
54,lje1kpehfxsqxg6/3,0,1,0,0,0,0,1,0
55,lje1kpehfxsqxg6/3,1,1,0,0,0,1,1,1
56,lje1kpehfxsqxg6/3,1,0,0,1,0,0,1,0
57,lje1kpehfxsqxg6/3,1,1,0,0,0,0,0,0
58,lje1kpehfxsqxg6/3,1,0,0,0,0,0,0,0
59,lje1kpehfxsqxg6/3,0,0,0,1,0,0,0,0
60,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
61,lje1kpehfxsqxg6/3,1,0,1,1,1,0,0,0
62,lje1kpehfxsqxg6/3,1,1,1,1,1,0,1,0
63,lje1kpehfxsqxg6/3,0,1,0,0,0,1,0,1
64,lje1kpehfxsqxg6/3,0,0,1,1,0,0,0,0
65,lje1kpehfxsqxg6/3,1,0,0,0,0,1,0,0
66,lje1kpehfxsqxg6/3,0,0,0,1,0,0,0,0
67,lje1kpehfxsqxg6/3,1,1,0,0,0,1,0,0
68,lje1kpehfxsqxg6/3,1,0,0,1,0,1,1,0
69,lje1kpehfxsqxg6/3,1,0,0,0,0,1,0,0
70,lje1kpehfxsqxg6/3,1,0,0,0,0,0,0,0
71,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
72,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
73,lje1kpehfxsqxg6/3,0,0,0,0,0,0,1,1
74,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
75,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,1
76,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
77,lje1kpehfxsqxg6/3,1,1,0,1,1,0,0,0
78,lje1kpehfxsqxg6/3,0,0,0,1,0,0,0,0
79,lje1kpehfxsqxg6/3,0,0,1,1,1,0,0,0
80,lje1kpehfxsqxg6/3,0,0,0,1,0,1,0,0
81,lje1kpehfxsqxg6/3,0,0,0,1,0,0,0,0
82,lje1kpehfxsqxg6/3,0,0,0,0,0,1,0,0
83,lje1kpehfxsqxg6/3,1,0,0,0,0,1,1,0
84,lje1kpehfxsqxg6/3,1,0,0,0,0,0,1,0
