Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer2,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.answer0,Answer.answer1,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.comments
subset,none,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/zmJvsAn.jpg,Puma,Lion(ess),Lion(ess),Tiger,Jaguar,Puma,Jaguar,Tiger,Cheetah,Tiger,Leopard,Cheetah,Jaguar,Puma,Cheetah,Leopard,Lion(ess)|Puma|Leopard,Lion(ess),Lion(ess),Tiger,Leopard|Cheetah,Jaguar|Lion(ess)|Puma|Leopard,Leopard|Cheetah,Tiger,Jaguar|Puma|Leopard|Cheetah,Tiger,Leopard|Cheetah,Leopard|Cheetah,Leopard|Cheetah,Jaguar|Lion(ess)|Puma|Leopard,Leopard|Cheetah,Cheetah,Thank you.
single-skip,multiplicative,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/O8O3CgP.jpg,Tiger,Tiger,Jaguar,Jaguar,Cheetah,Lion(ess),Leopard,Jaguar,Puma,Leopard,Cheetah,Tiger,Lion(ess),Cheetah,Puma,Puma,Tiger,Tiger,Jaguar,Jaguar,Cheetah,Lion(ess),Leopard,Jaguar,Puma,Leopard,Cheetah,Tiger,Lion(ess),Cheetah,Puma,Puma,
single-skip,multiplicative,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/4Vs97dZ.jpg,Cheetah,Tiger,Jaguar,Cheetah,Tiger,Tiger,Lion(ess),Puma,Leopard,Cheetah,Leopard,Jaguar,Puma,Puma,Jaguar,Lion(ess),Cheetah,Tiger,Leopard,Cheetah,Tiger,Tiger,Lion(ess),Skip,Skip,Cheetah,Skip,Skip,Skip,Skip,Skip,Lion(ess),
subset,none,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/zmJvsAn.jpg,Puma,Leopard,Tiger,Tiger,Tiger,Puma,Cheetah,Cheetah,Puma,Jaguar,Jaguar,Cheetah,Lion(ess),Lion(ess),Jaguar,Leopard,Lion(ess)|Puma,Leopard|Cheetah,Tiger,Tiger,Tiger,Lion(ess)|Puma,Cheetah|Puma,Cheetah|Puma,Lion(ess)|Puma,Leopard|Cheetah,Leopard|Cheetah,Leopard|Cheetah|Puma,Lion(ess),Lion(ess),Leopard|Cheetah|Puma,Leopard|Cheetah|Puma,
subset,none,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/KE8QemE.jpg,Tiger,Cheetah,Lion(ess),Jaguar,Leopard,Jaguar,Leopard,Cheetah,Puma,Jaguar,Tiger,Puma,Lion(ess),Puma,Cheetah,Tiger,Tiger,Jaguar|Leopard|Cheetah,Lion(ess),Jaguar|Leopard|Cheetah,Jaguar|Leopard|Cheetah,Jaguar|Leopard|Cheetah,Leopard|Cheetah,Jaguar|Leopard|Cheetah,Lion(ess)|Puma,Jaguar|Leopard|Cheetah,Tiger,Lion(ess)|Puma,Lion(ess),Lion(ess)|Puma|Jaguar,Leopard|Cheetah,Tiger,
single-noskip,additive,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/2hn2Eu8.jpg,Lion(ess),Cheetah,Tiger,Tiger,Puma,Tiger,Puma,Leopard,Jaguar,Leopard,Jaguar,Jaguar,Lion(ess),Cheetah,Puma,Cheetah,Lion(ess),Cheetah,Tiger,Tiger,Lion(ess),Tiger,Lion(ess),Leopard,Leopard,Leopard,Leopard,Leopard,Lion(ess),Leopard,Jaguar,Cheetah,
single-skip,multiplicative,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/2hn2Eu8.jpg,Lion(ess),Jaguar,Tiger,Leopard,Jaguar,Jaguar,Leopard,Tiger,Puma,Puma,Tiger,Puma,Lion(ess),Cheetah,Cheetah,Cheetah,Lion(ess),Leopard,Tiger,Cheetah,Leopard,Puma,Leopard,Tiger,Jaguar,Jaguar,Tiger,Jaguar,Lion(ess),Cheetah,Cheetah,Cheetah,
single-noskip,additive,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/jmWme5a.jpg,Puma,Cheetah,Tiger,Cheetah,Puma,Leopard,Jaguar,Cheetah,Jaguar,Tiger,Jaguar,Tiger,Puma,Leopard,Lion(ess),Lion(ess),Jaguar,Cheetah,Tiger,Cheetah,Lion(ess),Leopard,Leopard,Cheetah,Leopard,Tiger,Leopard,Tiger,Puma,Leopard,Lion(ess),Lion(ess),
subset,none,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/jmWme5a.jpg,Tiger,Jaguar,Puma,Leopard,Lion(ess),Puma,Leopard,Tiger,Tiger,Jaguar,Cheetah,Puma,Cheetah,Cheetah,Jaguar,Lion(ess),Tiger,Leopard|Jaguar,Puma,Cheetah|Leopard|Jaguar,Lion(ess),Puma,Cheetah|Leopard|Jaguar,Tiger,Tiger,Cheetah|Leopard|Jaguar,Cheetah,Puma,Cheetah|Leopard|Jaguar,Cheetah|Leopard|Jaguar,Leopard|Jaguar,Lion(ess),
subset,none,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/vLIzY1T.jpg,Lion(ess),Puma,Cheetah,Leopard,Puma,Tiger,Cheetah,Tiger,Puma,Tiger,Cheetah,Leopard,Lion(ess),Jaguar,Jaguar,Jaguar,Lion(ess),Lion(ess)|Puma,Cheetah|Leopard|Jaguar,Cheetah|Leopard|Jaguar,Lion(ess)|Puma,Tiger,Cheetah|Leopard|Jaguar,Tiger,Lion(ess)|Puma,Tiger,Cheetah|Leopard|Jaguar,Cheetah|Leopard|Jaguar,Lion(ess)|Puma,Cheetah|Leopard|Jaguar,Cheetah|Leopard|Jaguar,Cheetah|Leopard|Jaguar,Thank You
subset,multiplicative,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/cz4D4eX.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/20ac1mX.jpg,Tiger,Lion(ess),Jaguar,Jaguar,Tiger,Leopard,Lion(ess),Cheetah,Puma,Tiger,Puma,Jaguar,Puma,Cheetah,Leopard,Cheetah,Tiger,Lion(ess),Jaguar,Jaguar,Tiger,Cheetah,Lion(ess),Cheetah,Puma,Tiger,Puma,Jaguar,Puma,Cheetah,Jaguar,Cheetah,
single-skip,multiplicative,http://i.imgur.com/c1Bqo0z.jpg?1,http://i.imgur.com/Euvz93H.jpg,http://i.imgur.com/UFLgizH.jpg,http://i.imgur.com/wDcGjzP.jpg,http://i.imgur.com/jmWme5a.jpg,http://i.imgur.com/vLIzY1T.jpg,http://i.imgur.com/KE8QemE.jpg,http://i.imgur.com/2hn2Eu8.jpg,http://i.imgur.com/O8O3CgP.jpg,http://i.imgur.com/pH8OohI.jpg,http://i.imgur.com/b82bC1q.jpg,http://i.imgur.com/zmJvsAn.jpg,http://i.imgur.com/20ac1mX.jpg,http://i.imgur.com/ElAhMn9.jpg,http://i.imgur.com/4Vs97dZ.jpg,http://i.imgur.com/cz4D4eX.jpg,Leopard,Jaguar,Puma,Tiger,Lion(ess),Jaguar,Tiger,Cheetah,Puma,Puma,Cheetah,Leopard,Cheetah,Tiger,Lion(ess),Jaguar,Leopard,Skip,Puma,Tiger,Lion(ess),Skip,Tiger,Cheetah,Puma,Puma,Cheetah,Leopard,Cheetah,Tiger,Lion(ess),Jaguar,Nothing
