Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question2,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer2,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer2,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
subset,none,1.5.07,1.1.05,1.4.12,1.1.09,1.1.07,1.4.02,1.5.05,1.4.11,1.4.01,1.1.01,1.5.06,1.1.12,1.4.10,1.5.04,1.4.08,1.4.03,Grass,Cloth,Sand,Wood,Sand,Wood,Gravel,Sand,Brick,Grass,Brick,Brick,Grass,Sand,Brick,Wood,Gravel|Grass|Sand,Wood|Cloth,Gravel|Wood|Sand,Wood,Gravel|Sand,Gravel|Brick|Wood,Gravel|Sand,Gravel|Wood|Sand,Gravel|Brick|Sand,Gravel|Grass|Sand,Gravel|Brick|Sand,Gravel|Brick|Sand,Gravel|Grass|Sand,Wood|Cloth,Gravel|Brick|Sand,Gravel|Brick|Sand,
subset,multiplicative,1.5.05,1.5.06,1.1.05,1.4.03,1.4.10,1.1.07,1.5.04,1.1.09,1.4.08,1.1.12,1.4.01,1.4.02,1.4.11,1.5.07,1.4.12,1.1.01,Gravel,Brick,Cloth,Wood,Grass,Sand,Sand,Wood,Brick,Brick,Brick,Wood,Sand,Grass,Sand,Grass,Gravel,Brick|Gravel,Cloth,Brick,Cloth|Grass,Cloth|Grass,Sand|Gravel,Wood|Grass,Brick|Gravel,Brick,Brick,Brick,Sand,Cloth|Grass,Sand,Cloth|Grass,
subset,none,1.4.02,1.1.09,1.5.07,1.4.01,1.5.06,1.4.10,1.1.07,1.4.11,1.5.04,1.4.12,1.4.08,1.1.01,1.1.12,1.1.05,1.5.05,1.4.03,Wood,Wood,Grass,Brick,Brick,Grass,Sand,Sand,Sand,Sand,Brick,Grass,Brick,Cloth,Gravel,Wood,Brick,Cloth|Wood,Grass,Brick,Gravel,Grass,Sand,Cloth|Gravel,Sand,Wood|Sand,Cloth|Wood|Sand,Grass,Brick,Cloth,Sand,Gravel,Nice Task
single-noskip,additive,1.4.11,1.5.04,1.4.02,1.4.08,1.5.05,1.4.03,1.1.05,1.1.09,1.4.10,1.1.07,1.5.06,1.4.01,1.1.12,1.4.12,1.5.07,1.1.01,Sand,Sand,Wood,Brick,Gravel,Wood,Cloth,Wood,Grass,Sand,Brick,Brick,Brick,Sand,Grass,Grass,Sand,Sand,Wood,Brick,Gravel,Wood,Cloth,Wood,Cloth,Sand,Brick,Brick,Brick,Sand,Grass,Cloth,
subset,none,1.4.03,1.4.12,1.4.01,1.5.05,1.4.08,1.4.11,1.1.01,1.1.12,1.4.10,1.1.07,1.4.02,1.1.09,1.1.05,1.5.04,1.5.07,1.5.06,Wood,Sand,Brick,Gravel,Brick,Sand,Grass,Brick,Grass,Sand,Wood,Wood,Cloth,Sand,Grass,Brick,Brick|Wood,Sand|Brick|Gravel|Wood,Brick|Wood,Sand|Brick|Gravel|Wood,Brick|Cloth|Wood,Sand|Brick|Cloth|Wood,Grass,Brick|Wood,Grass,Sand|Brick|Gravel|Wood,Wood,Wood,Cloth,Sand|Brick|Gravel|Wood,Grass,Brick|Gravel|Wood,
subset,multiplicative,1.1.09,1.4.02,1.4.12,1.5.05,1.5.06,1.4.01,1.4.10,1.5.04,1.1.05,1.4.11,1.1.01,1.1.12,1.1.07,1.4.03,1.5.07,1.4.08,Wood,Wood,Sand,Gravel,Brick,Brick,Grass,Sand,Cloth,Sand,Grass,Brick,Sand,Wood,Grass,Brick,Wood,Brick,Sand,Gravel,Brick,Brick,Wood,Sand,Cloth,Sand,Gravel,Brick,Wood,Brick,Gravel,Brick,small difficult
subset,none,1.5.05,1.4.11,1.1.01,1.4.12,1.5.06,1.4.03,1.4.02,1.1.12,1.1.09,1.5.07,1.5.04,1.1.07,1.4.08,1.1.05,1.4.01,1.4.10,Gravel,Sand,Grass,Sand,Brick,Wood,Wood,Brick,Wood,Grass,Sand,Sand,Brick,Cloth,Brick,Grass,Sand|Wood|Gravel,Wood|Gravel|Brick,Grass|Wood|Gravel,Grass|Gravel|Brick,Grass|Wood|Gravel,Grass|Wood|Gravel,Grass|Wood|Brick,Grass|Sand|Wood,Sand|Gravel|Cloth,Grass|Sand|Wood,Wood|Gravel|Brick,Grass|Wood|Gravel,Grass|Wood|Gravel,Grass|Gravel|Cloth,Sand|Gravel|Cloth,Sand|Cloth|Brick,no
single-skip,multiplicative,1.1.07,1.4.08,1.4.03,1.4.01,1.5.06,1.5.05,1.5.07,1.1.09,1.1.12,1.5.04,1.1.01,1.4.12,1.1.05,1.4.02,1.4.11,1.4.10,Sand,Brick,Wood,Brick,Brick,Gravel,Grass,Wood,Brick,Sand,Grass,Sand,Cloth,Wood,Sand,Grass,Sand,Cloth,Brick,Brick,Brick,Skip,Grass,Skip,Brick,Sand,Grass,Cloth,Skip,Brick,Sand,Grass,nice hit
subset,multiplicative,1.5.06,1.4.03,1.4.01,1.4.12,1.4.08,1.1.12,1.5.07,1.5.05,1.4.10,1.1.01,1.4.11,1.5.04,1.4.02,1.1.07,1.1.05,1.1.09,Brick,Wood,Brick,Sand,Brick,Brick,Grass,Gravel,Grass,Grass,Sand,Sand,Wood,Sand,Cloth,Wood,Brick,Wood,Brick,Sand,Cloth,Brick,Grass,Gravel,Grass,Grass,Cloth,Gravel,Wood,Sand,Cloth,Wood,Thank you.
subset,multiplicative,1.1.01,1.4.10,1.1.05,1.4.12,1.4.03,1.4.08,1.4.02,1.4.01,1.4.11,1.1.09,1.5.05,1.5.04,1.1.12,1.5.07,1.5.06,1.1.07,Grass,Grass,Cloth,Sand,Wood,Brick,Wood,Brick,Sand,Wood,Gravel,Sand,Brick,Grass,Brick,Sand,Gravel|Sand,Gravel|Grass,Cloth,Gravel|Sand,Wood,Brick|Cloth,Wood,Brick,Sand,Wood,Gravel|Sand,Gravel|Sand,Brick,Grass,Brick,Gravel|Sand,please post more.
subset,none,1.5.06,1.4.01,1.5.04,1.1.01,1.4.03,1.5.07,1.1.12,1.4.02,1.1.07,1.1.09,1.4.08,1.5.05,1.4.11,1.4.10,1.1.05,1.4.12,Brick,Brick,Sand,Grass,Wood,Grass,Brick,Wood,Sand,Wood,Brick,Gravel,Sand,Grass,Cloth,Sand,Gravel|Brick,Gravel|Brick|Wood,Gravel|Brick,Cloth|Grass,Gravel|Brick|Wood,Grass,Gravel|Brick,Brick|Wood,Gravel|Brick|Sand,Gravel|Cloth|Wood,Gravel|Brick|Wood,Gravel|Brick|Cloth,Gravel|Cloth|Sand,Cloth|Grass,Cloth,Gravel|Cloth|Wood,
single-noskip,additive,1.1.07,1.5.07,1.4.10,1.4.01,1.1.05,1.1.12,1.4.02,1.4.03,1.5.04,1.5.05,1.4.11,1.4.08,1.1.01,1.1.09,1.4.12,1.5.06,Sand,Grass,Grass,Brick,Cloth,Brick,Wood,Wood,Sand,Gravel,Sand,Brick,Grass,Wood,Sand,Brick,Sand,Grass,Grass,Brick,Cloth,Brick,Wood,Wood,Brick,Gravel,Brick,Brick,Grass,Wood,Brick,Brick,
subset,none,1.4.01,1.5.06,1.4.03,1.4.08,1.1.09,1.5.04,1.4.12,1.1.07,1.4.02,1.4.10,1.5.05,1.1.01,1.1.12,1.4.11,1.1.05,1.5.07,Brick,Brick,Wood,Brick,Wood,Sand,Sand,Sand,Wood,Grass,Gravel,Grass,Brick,Sand,Cloth,Grass,Brick|Wood,Brick|Wood|Sand,Brick|Wood,Brick|Wood,Cloth|Grass,Gravel|Sand|Grass,Cloth|Sand,Cloth|Sand|Grass,Brick,Grass,Gravel,Grass,Brick|Wood,Cloth|Sand,Cloth|Wood,Grass,Nothing
single-skip,multiplicative,1.4.10,1.4.02,1.4.08,1.5.06,1.1.12,1.5.05,1.1.09,1.1.01,1.4.03,1.5.04,1.1.05,1.4.01,1.4.12,1.4.11,1.1.07,1.5.07,Grass,Wood,Brick,Brick,Brick,Gravel,Wood,Grass,Wood,Sand,Cloth,Brick,Sand,Sand,Sand,Grass,Grass,Brick,Brick,Brick,Brick,Gravel,Wood,Grass,Brick,Skip,Cloth,Brick,Cloth,Skip,Sand,Grass,
single-noskip,additive,1.5.06,1.5.04,1.1.07,1.5.07,1.4.12,1.1.09,1.4.10,1.4.02,1.4.03,1.1.12,1.5.05,1.4.01,1.4.11,1.1.01,1.1.05,1.4.08,Brick,Sand,Sand,Grass,Sand,Wood,Grass,Wood,Wood,Brick,Gravel,Brick,Sand,Grass,Cloth,Brick,Brick,Cloth,Cloth,Grass,Cloth,Wood,Grass,Wood,Wood,Brick,Cloth,Brick,Cloth,Grass,Cloth,Brick,Some were hard to figure out
single-noskip,additive,1.4.08,1.4.01,1.1.09,1.4.11,1.1.01,1.4.02,1.4.12,1.1.07,1.5.07,1.4.03,1.5.06,1.1.12,1.4.10,1.5.04,1.1.05,1.5.05,Brick,Brick,Wood,Sand,Grass,Wood,Sand,Sand,Grass,Wood,Brick,Brick,Grass,Sand,Cloth,Gravel,Wood,Brick,Cloth,Sand,Grass,Gravel,Sand,Sand,Grass,Gravel,Brick,Brick,Grass,Sand,Cloth,Sand,very nice i like so much
subset,none,1.5.04,1.5.06,1.1.09,1.4.10,1.4.03,1.1.12,1.4.02,1.4.01,1.1.07,1.4.08,1.1.01,1.1.05,1.5.05,1.5.07,1.4.11,1.4.12,Sand,Brick,Wood,Grass,Wood,Brick,Wood,Brick,Sand,Brick,Grass,Cloth,Gravel,Grass,Sand,Sand,Brick|Sand|Wood|Cloth|Gravel,Brick|Sand|Wood|Cloth,Sand|Wood|Cloth|Gravel,Sand|Grass|Cloth|Gravel,Brick|Wood|Gravel,Brick|Wood|Cloth,Brick|Wood|Cloth,Brick|Wood|Cloth,Brick|Sand|Cloth|Gravel,Brick|Wood|Cloth|Gravel,Sand|Wood|Grass|Cloth|Gravel,Cloth|Gravel,Brick|Sand|Cloth|Gravel,Wood|Grass|Cloth,Brick|Sand|Wood|Cloth|Gravel,Brick|Sand|Wood|Cloth|Gravel,
single-noskip,additive,1.5.06,1.1.01,1.1.07,1.4.03,1.5.04,1.1.09,1.4.08,1.5.07,1.4.11,1.4.02,1.4.12,1.5.05,1.4.01,1.1.12,1.1.05,1.4.10,Brick,Grass,Sand,Wood,Sand,Wood,Brick,Grass,Sand,Wood,Sand,Gravel,Brick,Brick,Cloth,Grass,Brick,Grass,Sand,Brick,Cloth,Wood,Brick,Grass,Sand,Brick,Sand,Gravel,Brick,Brick,Cloth,Grass,
subset,none,1.1.07,1.5.07,1.4.01,1.5.05,1.4.12,1.4.08,1.5.04,1.5.06,1.4.03,1.1.05,1.1.01,1.4.10,1.1.12,1.4.11,1.4.02,1.1.09,Sand,Grass,Brick,Gravel,Sand,Brick,Sand,Brick,Wood,Cloth,Grass,Grass,Brick,Sand,Wood,Wood,Gravel|Sand,Cloth|Grass,Brick,Gravel|Sand,Cloth|Gravel|Sand,Cloth|Wood|Brick,Gravel|Sand,Gravel|Brick,Wood|Brick,Cloth|Brick,Cloth|Gravel|Grass,Cloth|Wood|Grass,Wood|Brick,Gravel|Sand|Grass,Wood|Brick,Cloth|Wood,Thanks. Interesting task. I would like to do more.
single-noskip,additive,1.1.07,1.4.03,1.1.01,1.1.05,1.5.04,1.1.12,1.5.05,1.4.01,1.4.10,1.5.06,1.4.08,1.1.09,1.4.11,1.4.12,1.5.07,1.4.02,Sand,Wood,Grass,Cloth,Sand,Brick,Gravel,Brick,Grass,Brick,Brick,Wood,Sand,Sand,Grass,Wood,Sand,Wood,Grass,Cloth,Gravel,Brick,Gravel,Brick,Grass,Brick,Brick,Cloth,Gravel,Gravel,Grass,Wood,
single-skip,multiplicative,1.4.01,1.4.11,1.4.12,1.1.09,1.5.05,1.5.04,1.4.02,1.1.05,1.1.07,1.5.07,1.5.06,1.4.03,1.4.10,1.1.12,1.1.01,1.4.08,Brick,Sand,Sand,Wood,Gravel,Sand,Wood,Cloth,Sand,Grass,Brick,Wood,Grass,Brick,Grass,Brick,Brick,Wood,Sand,Wood,Skip,Skip,Brick,Skip,Skip,Grass,Brick,Brick,Grass,Brick,Grass,Skip,thanks for the task
single-skip,multiplicative,1.1.07,1.5.06,1.1.05,1.4.03,1.4.12,1.5.04,1.1.09,1.4.01,1.1.01,1.4.02,1.4.11,1.4.10,1.1.12,1.5.07,1.5.05,1.4.08,Sand,Brick,Cloth,Wood,Sand,Sand,Wood,Brick,Grass,Wood,Sand,Grass,Brick,Grass,Gravel,Brick,Skip,Brick,Skip,Skip,Skip,Skip,Wood,Brick,Skip,Brick,Skip,Grass,Brick,Grass,Gravel,Brick,
single-noskip,additive,1.4.03,1.1.05,1.4.12,1.1.07,1.4.08,1.1.12,1.4.02,1.5.06,1.1.01,1.1.09,1.5.05,1.5.04,1.4.01,1.5.07,1.4.11,1.4.10,Wood,Cloth,Sand,Sand,Brick,Brick,Wood,Brick,Grass,Wood,Gravel,Sand,Brick,Grass,Sand,Grass,Wood,Cloth,Sand,Gravel,Brick,Brick,Wood,Brick,Grass,Wood,Gravel,Sand,Brick,Grass,Sand,Grass,
single-skip,multiplicative,1.1.09,1.5.07,1.4.02,1.4.10,1.5.04,1.1.07,1.4.12,1.5.06,1.1.05,1.4.01,1.4.08,1.1.01,1.5.05,1.4.11,1.4.03,1.1.12,Wood,Grass,Wood,Grass,Sand,Sand,Sand,Brick,Cloth,Brick,Brick,Grass,Gravel,Sand,Wood,Brick,Wood,Grass,Brick,Grass,Skip,Skip,Sand,Brick,Cloth,Brick,Brick,Grass,Gravel,Sand,Brick,Brick,
single-skip,multiplicative,1.5.05,1.1.05,1.5.06,1.4.11,1.4.03,1.1.09,1.4.01,1.4.02,1.4.08,1.1.01,1.1.12,1.5.07,1.5.04,1.4.12,1.4.10,1.1.07,Gravel,Cloth,Brick,Sand,Wood,Wood,Brick,Wood,Brick,Grass,Brick,Grass,Sand,Sand,Grass,Sand,Skip,Skip,Brick,Skip,Wood,Wood,Brick,Wood,Skip,Grass,Brick,Grass,Skip,Skip,Grass,Skip,
single-noskip,additive,1.1.01,1.4.08,1.4.01,1.1.07,1.5.06,1.4.03,1.5.04,1.5.07,1.4.11,1.1.09,1.4.12,1.1.05,1.4.02,1.4.10,1.1.12,1.5.05,Grass,Brick,Brick,Sand,Brick,Wood,Sand,Grass,Sand,Wood,Sand,Cloth,Wood,Grass,Brick,Gravel,Grass,Gravel,Brick,Grass,Wood,Gravel,Gravel,Cloth,Sand,Cloth,Gravel,Wood,Gravel,Grass,Brick,Brick,
subset,none,1.1.07,1.4.12,1.5.07,1.5.05,1.1.09,1.4.01,1.1.01,1.1.12,1.5.06,1.4.08,1.4.02,1.1.05,1.4.10,1.4.03,1.5.04,1.4.11,Sand,Sand,Grass,Gravel,Wood,Brick,Grass,Brick,Brick,Brick,Wood,Cloth,Grass,Wood,Sand,Sand,Grass|Sand,Sand,Grass,Gravel,Grass|Cloth,Brick,Grass,Brick,Brick,Brick|Wood|Gravel,Brick,Cloth,Grass,Brick,Grass,Sand,
subset,multiplicative,1.1.12,1.4.12,1.5.06,1.1.09,1.4.11,1.1.05,1.1.07,1.4.08,1.1.01,1.5.05,1.4.03,1.4.01,1.4.02,1.5.07,1.5.04,1.4.10,Brick,Sand,Brick,Wood,Sand,Cloth,Sand,Brick,Grass,Gravel,Wood,Brick,Wood,Grass,Sand,Grass,Wood|Gravel|Brick,Wood|Grass|Cloth|Gravel|Sand,Wood|Grass|Gravel|Brick|Sand,Wood|Grass|Cloth|Gravel|Brick|Sand,Wood|Grass|Cloth|Gravel|Brick|Sand,Wood|Grass|Cloth|Gravel|Brick,Wood|Grass|Cloth|Gravel|Brick|Sand,Wood|Grass|Cloth|Gravel|Brick|Sand,Wood|Grass|Cloth|Sand,Gravel|Brick|Sand,Wood|Gravel|Brick|Sand,Wood|Gravel|Brick|Sand,Wood|Gravel|Brick|Sand,Grass|Cloth|Sand,Wood|Grass|Cloth|Gravel|Brick|Sand,Wood|Grass|Cloth|Gravel|Brick,Thank you
subset,none,1.4.11,1.5.05,1.4.12,1.5.06,1.1.09,1.1.01,1.1.12,1.4.08,1.4.01,1.4.02,1.1.07,1.4.10,1.5.07,1.5.04,1.4.03,1.1.05,Sand,Gravel,Sand,Brick,Wood,Grass,Brick,Brick,Brick,Wood,Sand,Grass,Grass,Sand,Wood,Cloth,Gravel|Sand|Brick,Gravel|Brick,Gravel|Sand|Brick,Wood|Brick,Wood|Brick,Grass|Gravel|Sand|Brick,Wood|Brick,Wood|Gravel|Brick,Brick,Brick,Grass|Gravel|Sand,Grass|Gravel|Sand,Grass|Gravel|Sand,Grass|Gravel|Sand,Gravel|Brick,Cloth|Gravel|Sand|Brick,No
single-noskip,additive,1.5.04,1.4.12,1.5.05,1.1.12,1.5.07,1.1.05,1.4.11,1.4.02,1.5.06,1.1.01,1.4.08,1.4.01,1.1.07,1.4.10,1.1.09,1.4.03,Sand,Sand,Gravel,Brick,Grass,Cloth,Sand,Wood,Brick,Grass,Brick,Brick,Sand,Grass,Wood,Wood,Sand,Sand,Gravel,Brick,Grass,Cloth,Sand,Brick,Brick,Grass,Cloth,Brick,Sand,Grass,Wood,Brick,
single-noskip,additive,1.5.06,1.4.12,1.1.05,1.5.05,1.4.01,1.4.10,1.4.08,1.1.09,1.4.03,1.5.07,1.5.04,1.4.11,1.4.02,1.1.07,1.1.01,1.1.12,Brick,Sand,Cloth,Gravel,Brick,Grass,Brick,Wood,Wood,Grass,Sand,Sand,Wood,Sand,Grass,Brick,Brick,Sand,Cloth,Gravel,Brick,Grass,Brick,Cloth,Wood,Grass,Gravel,Sand,Wood,Gravel,Grass,Brick,thank you
subset,multiplicative,1.1.01,1.5.06,1.4.03,1.4.10,1.1.09,1.4.02,1.5.04,1.4.08,1.4.01,1.1.12,1.1.05,1.1.07,1.4.12,1.5.07,1.4.11,1.5.05,Grass,Brick,Wood,Grass,Wood,Wood,Sand,Brick,Brick,Brick,Cloth,Sand,Sand,Grass,Sand,Gravel,Grass|Wood|Cloth,Brick,Brick,Grass,Wood|Cloth,Wood,Brick,Brick,Brick,Brick,Cloth,Sand|Brick,Brick,Grass,Brick,Gravel,
single-noskip,additive,1.4.03,1.4.02,1.5.04,1.4.08,1.5.05,1.4.11,1.4.12,1.1.07,1.1.09,1.4.10,1.5.07,1.1.01,1.1.12,1.1.05,1.5.06,1.4.01,Wood,Wood,Sand,Brick,Gravel,Sand,Sand,Sand,Wood,Grass,Grass,Grass,Brick,Cloth,Brick,Brick,Brick,Brick,Sand,Brick,Brick,Gravel,Gravel,Grass,Wood,Grass,Grass,Grass,Brick,Gravel,Brick,Brick,
subset,multiplicative,1.4.10,1.4.08,1.4.12,1.4.01,1.4.02,1.5.07,1.4.03,1.5.06,1.1.12,1.4.11,1.1.07,1.1.09,1.1.05,1.5.04,1.5.05,1.1.01,Grass,Brick,Sand,Brick,Wood,Grass,Wood,Brick,Brick,Sand,Sand,Wood,Cloth,Sand,Gravel,Grass,Grass,Brick,Sand|Grass|Wood,Brick,Brick,Grass,Brick,Brick,Brick,Sand|Grass|Wood,Sand|Grass,Cloth|Wood,Grass|Cloth,Sand|Grass|Wood,Wood|Gravel,Grass|Wood,Nice survey
single-noskip,additive,1.4.08,1.1.09,1.4.02,1.4.11,1.4.03,1.1.12,1.1.01,1.5.07,1.4.10,1.5.05,1.4.01,1.1.07,1.5.06,1.1.05,1.5.04,1.4.12,Brick,Wood,Wood,Sand,Wood,Brick,Grass,Grass,Grass,Gravel,Brick,Sand,Brick,Cloth,Sand,Sand,Wood,Grass,Brick,Gravel,Brick,Wood,Grass,Grass,Grass,Gravel,Brick,Gravel,Brick,Sand,Gravel,Sand,
single-skip,multiplicative,1.5.07,1.4.01,1.5.06,1.4.03,1.1.01,1.4.08,1.5.04,1.4.02,1.1.05,1.1.09,1.5.05,1.1.07,1.4.10,1.1.12,1.4.11,1.4.12,Grass,Brick,Brick,Wood,Grass,Brick,Sand,Wood,Cloth,Wood,Gravel,Sand,Grass,Brick,Sand,Sand,Grass,Brick,Brick,Wood,Grass,Brick,Gravel,Wood,Cloth,Cloth,Gravel,Gravel,Grass,Brick,Sand,Sand,nice and interesting
subset,none,1.1.07,1.5.06,1.5.07,1.4.12,1.1.05,1.1.12,1.5.04,1.4.02,1.4.03,1.4.08,1.5.05,1.1.09,1.4.10,1.4.11,1.1.01,1.4.01,Sand,Brick,Grass,Sand,Cloth,Brick,Sand,Wood,Wood,Brick,Gravel,Wood,Grass,Sand,Grass,Brick,Brick|Sand|Gravel,Brick,Grass,Sand,Brick|Cloth,Brick|Wood,Sand|Gravel,Brick|Wood,Wood,Brick|Cloth,Cloth|Gravel,Wood,Grass|Cloth,Sand|Gravel,Grass|Cloth,Brick|Wood,
