Answer.INTERFACE,Answer.MECHANISM,Answer.question0,Answer.question1,Answer.question10,Answer.question11,Answer.question12,Answer.question13,Answer.question14,Answer.question15,Answer.question16,Answer.question17,Answer.question18,Answer.question19,Answer.question2,Answer.question20,Answer.question21,Answer.question22,Answer.question23,Answer.question24,Answer.question3,Answer.question4,Answer.question5,Answer.question6,Answer.question7,Answer.question8,Answer.question9,Answer.trueAnswer0,Answer.trueAnswer1,Answer.trueAnswer10,Answer.trueAnswer11,Answer.trueAnswer12,Answer.trueAnswer13,Answer.trueAnswer14,Answer.trueAnswer15,Answer.trueAnswer16,Answer.trueAnswer17,Answer.trueAnswer18,Answer.trueAnswer19,Answer.trueAnswer2,Answer.trueAnswer20,Answer.trueAnswer21,Answer.trueAnswer22,Answer.trueAnswer23,Answer.trueAnswer24,Answer.trueAnswer3,Answer.trueAnswer4,Answer.trueAnswer5,Answer.trueAnswer6,Answer.trueAnswer7,Answer.trueAnswer8,Answer.trueAnswer9,Answer.answer0,Answer.answer1,Answer.answer10,Answer.answer11,Answer.answer12,Answer.answer13,Answer.answer14,Answer.answer15,Answer.answer16,Answer.answer17,Answer.answer18,Answer.answer19,Answer.answer2,Answer.answer20,Answer.answer21,Answer.answer22,Answer.answer23,Answer.answer24,Answer.answer3,Answer.answer4,Answer.answer5,Answer.answer6,Answer.answer7,Answer.answer8,Answer.answer9,Answer.comments
subset,multiplicative,9omx3hyvbsi6s4z/14,lje1kpehfxsqxg6/3,867rdbxwrn1tlom/13,0xtz9sah11iwzfb/19,dfgcmyi9zlmzojy/2,p8x7qrx57foej2v/17,nm9rf5ltug85eay/8,xzadddndcont63h/11,wc3yesvzcawev2b/18,c7557xr0oa9typw/22,wx0obc7c8f6ce6w/16,lgbjckfncok88u1/21,9v2qvj0b6ny4lrp/5,6l8h1tv26zedant/7,0t7hyu660p7bja8/1,h53qagtbagigq4f/12,c8vfeb66wb94r09/4,a9sdxr2f6l0ngql/24,aqjoi7izpzp6acv/10,ida8bqy4xp5417p/23,c39wrwcnjy60fx0/15,2e3tfgr5x7rfryb/9,zi53rt5amlnlle4/0,m5vgbt7e802e612/20,zxvn4kcvil8onmd/6,Latin,Thai,Latin,Chinese,Russian,Hebrew,Tamil,Hindi,Chinese,Japanese,Hebrew,Japanese,Thai,Tamil,Russian,Hindi,Thai,Japanese,Hindi,Japanese,Hebrew,Hindi,Russian,Chinese,Tamil,Hebrew|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Hebrew|Hindi|Russian|Latin|Tamil,Japanese|Thai|Chinese,Hebrew|Hindi|Russian|Latin|Tamil,
single-noskip,additive,zxvn4kcvil8onmd/6,m5vgbt7e802e612/20,c7557xr0oa9typw/22,0t7hyu660p7bja8/1,lje1kpehfxsqxg6/3,aqjoi7izpzp6acv/10,9omx3hyvbsi6s4z/14,wx0obc7c8f6ce6w/16,c39wrwcnjy60fx0/15,867rdbxwrn1tlom/13,h53qagtbagigq4f/12,a9sdxr2f6l0ngql/24,p8x7qrx57foej2v/17,xzadddndcont63h/11,c8vfeb66wb94r09/4,2e3tfgr5x7rfryb/9,9v2qvj0b6ny4lrp/5,nm9rf5ltug85eay/8,6l8h1tv26zedant/7,wc3yesvzcawev2b/18,0xtz9sah11iwzfb/19,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,ida8bqy4xp5417p/23,lgbjckfncok88u1/21,Tamil,Chinese,Japanese,Russian,Thai,Hindi,Latin,Hebrew,Hebrew,Latin,Hindi,Japanese,Hebrew,Hindi,Thai,Hindi,Thai,Tamil,Tamil,Chinese,Chinese,Russian,Russian,Japanese,Japanese,Thai,Chinese,Japanese,Russian,Tamil,Hindi,Latin,Hebrew,Hebrew,Latin,Hindi,Japanese,Hebrew,Hindi,Hebrew,Hebrew,Thai,Tamil,Tamil,Japanese,Chinese,Latin,Russian,Japanese,Chinese,
subset,none,wc3yesvzcawev2b/18,c8vfeb66wb94r09/4,lje1kpehfxsqxg6/3,0xtz9sah11iwzfb/19,9v2qvj0b6ny4lrp/5,zxvn4kcvil8onmd/6,m5vgbt7e802e612/20,867rdbxwrn1tlom/13,ida8bqy4xp5417p/23,c7557xr0oa9typw/22,0t7hyu660p7bja8/1,h53qagtbagigq4f/12,9omx3hyvbsi6s4z/14,p8x7qrx57foej2v/17,2e3tfgr5x7rfryb/9,dfgcmyi9zlmzojy/2,xzadddndcont63h/11,lgbjckfncok88u1/21,aqjoi7izpzp6acv/10,nm9rf5ltug85eay/8,zi53rt5amlnlle4/0,6l8h1tv26zedant/7,c39wrwcnjy60fx0/15,a9sdxr2f6l0ngql/24,wx0obc7c8f6ce6w/16,Chinese,Thai,Thai,Chinese,Thai,Tamil,Chinese,Latin,Japanese,Japanese,Russian,Hindi,Latin,Hebrew,Hindi,Russian,Hindi,Japanese,Hindi,Tamil,Russian,Tamil,Hebrew,Japanese,Hebrew,Thai|Japanese|Chinese,Chinese|Latin,Hindi|Russian|Hebrew,Thai|Japanese|Chinese,Hindi|Russian|Hebrew|Latin,Hindi|Russian|Latin,Thai|Japanese|Chinese,Hindi|Latin,Thai|Japanese|Chinese,Thai|Japanese|Chinese,Russian|Hebrew,Hebrew|Latin,Russian|Hebrew|Latin,Russian|Tamil|Hebrew,Hindi|Russian|Hebrew,Russian|Latin,Russian|Hebrew|Latin,Thai|Japanese|Chinese,Russian|Hebrew,Hindi|Tamil|Latin,Russian,Hindi|Russian|Japanese|Chinese,Hindi|Russian|Hebrew,Thai|Japanese|Chinese,Hindi|Russian|Hebrew,
single-noskip,additive,zi53rt5amlnlle4/0,c8vfeb66wb94r09/4,xzadddndcont63h/11,0xtz9sah11iwzfb/19,c7557xr0oa9typw/22,lje1kpehfxsqxg6/3,c39wrwcnjy60fx0/15,867rdbxwrn1tlom/13,a9sdxr2f6l0ngql/24,wx0obc7c8f6ce6w/16,2e3tfgr5x7rfryb/9,aqjoi7izpzp6acv/10,wc3yesvzcawev2b/18,dfgcmyi9zlmzojy/2,zxvn4kcvil8onmd/6,nm9rf5ltug85eay/8,0t7hyu660p7bja8/1,9omx3hyvbsi6s4z/14,9v2qvj0b6ny4lrp/5,6l8h1tv26zedant/7,p8x7qrx57foej2v/17,ida8bqy4xp5417p/23,m5vgbt7e802e612/20,lgbjckfncok88u1/21,h53qagtbagigq4f/12,Russian,Thai,Hindi,Chinese,Japanese,Thai,Hebrew,Latin,Japanese,Hebrew,Hindi,Hindi,Chinese,Russian,Tamil,Tamil,Russian,Latin,Thai,Tamil,Hebrew,Japanese,Chinese,Japanese,Hindi,Russian,Hebrew,Hebrew,Chinese,Chinese,Tamil,Hebrew,Latin,Japanese,Hebrew,Latin,Hebrew,Chinese,Russian,Tamil,Tamil,Russian,Latin,Thai,Tamil,Hebrew,Japanese,Japanese,Japanese,Hebrew,
subset,none,wx0obc7c8f6ce6w/16,ida8bqy4xp5417p/23,wc3yesvzcawev2b/18,xzadddndcont63h/11,aqjoi7izpzp6acv/10,zi53rt5amlnlle4/0,dfgcmyi9zlmzojy/2,a9sdxr2f6l0ngql/24,9omx3hyvbsi6s4z/14,c8vfeb66wb94r09/4,c7557xr0oa9typw/22,9v2qvj0b6ny4lrp/5,2e3tfgr5x7rfryb/9,0t7hyu660p7bja8/1,p8x7qrx57foej2v/17,6l8h1tv26zedant/7,h53qagtbagigq4f/12,zxvn4kcvil8onmd/6,m5vgbt7e802e612/20,lgbjckfncok88u1/21,nm9rf5ltug85eay/8,867rdbxwrn1tlom/13,lje1kpehfxsqxg6/3,0xtz9sah11iwzfb/19,c39wrwcnjy60fx0/15,Hebrew,Japanese,Chinese,Hindi,Hindi,Russian,Russian,Japanese,Latin,Thai,Japanese,Thai,Hindi,Russian,Hebrew,Tamil,Hindi,Tamil,Chinese,Japanese,Tamil,Latin,Thai,Chinese,Hebrew,Japanese|Hebrew|Latin|Thai,Chinese|Japanese|Latin|Thai,Japanese|Hebrew|Russian|Thai,Hindi,Hindi|Chinese,Russian|Thai,Japanese|Latin|Russian|Thai,Japanese|Hebrew|Russian|Thai,Chinese|Hebrew|Russian,Japanese|Russian|Thai,Hebrew|Russian,Hebrew|Latin|Thai,Hindi|Chinese|Hebrew|Tamil,Latin|Russian,Hebrew|Latin|Russian|Thai,Tamil|Thai,Hindi,Hindi,Hebrew|Latin,Hebrew|Latin,Tamil,Japanese|Russian|Thai,Hebrew|Latin|Russian|Thai,Chinese|Hebrew|Latin,Hebrew|Russian|Thai,
single-skip,multiplicative,aqjoi7izpzp6acv/10,xzadddndcont63h/11,0t7hyu660p7bja8/1,dfgcmyi9zlmzojy/2,m5vgbt7e802e612/20,a9sdxr2f6l0ngql/24,zxvn4kcvil8onmd/6,wc3yesvzcawev2b/18,wx0obc7c8f6ce6w/16,p8x7qrx57foej2v/17,c7557xr0oa9typw/22,h53qagtbagigq4f/12,6l8h1tv26zedant/7,zi53rt5amlnlle4/0,ida8bqy4xp5417p/23,9v2qvj0b6ny4lrp/5,nm9rf5ltug85eay/8,lje1kpehfxsqxg6/3,c39wrwcnjy60fx0/15,9omx3hyvbsi6s4z/14,0xtz9sah11iwzfb/19,c8vfeb66wb94r09/4,lgbjckfncok88u1/21,867rdbxwrn1tlom/13,2e3tfgr5x7rfryb/9,Hindi,Hindi,Russian,Russian,Chinese,Japanese,Tamil,Chinese,Hebrew,Hebrew,Japanese,Hindi,Tamil,Russian,Japanese,Thai,Tamil,Thai,Hebrew,Latin,Chinese,Thai,Japanese,Latin,Hindi,Hindi,Hindi,Skip,Skip,Skip,Skip,Tamil,Skip,Skip,Skip,Skip,Hindi,Tamil,Skip,Skip,Skip,Tamil,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Hindi,no
single-noskip,additive,p8x7qrx57foej2v/17,c39wrwcnjy60fx0/15,867rdbxwrn1tlom/13,wc3yesvzcawev2b/18,m5vgbt7e802e612/20,wx0obc7c8f6ce6w/16,lje1kpehfxsqxg6/3,ida8bqy4xp5417p/23,9v2qvj0b6ny4lrp/5,c7557xr0oa9typw/22,nm9rf5ltug85eay/8,xzadddndcont63h/11,6l8h1tv26zedant/7,a9sdxr2f6l0ngql/24,9omx3hyvbsi6s4z/14,zxvn4kcvil8onmd/6,zi53rt5amlnlle4/0,dfgcmyi9zlmzojy/2,h53qagtbagigq4f/12,2e3tfgr5x7rfryb/9,lgbjckfncok88u1/21,0xtz9sah11iwzfb/19,c8vfeb66wb94r09/4,aqjoi7izpzp6acv/10,0t7hyu660p7bja8/1,Hebrew,Hebrew,Latin,Chinese,Chinese,Hebrew,Thai,Japanese,Thai,Japanese,Tamil,Hindi,Tamil,Japanese,Latin,Tamil,Russian,Russian,Hindi,Hindi,Japanese,Chinese,Thai,Hindi,Russian,Latin,Hebrew,Russian,Chinese,Thai,Hebrew,Russian,Chinese,Hebrew,Russian,Tamil,Hindi,Tamil,Chinese,Russian,Tamil,Russian,Hebrew,Hindi,Hindi,Thai,Japanese,Latin,Hindi,Russian,
single-skip,multiplicative,2e3tfgr5x7rfryb/9,m5vgbt7e802e612/20,9v2qvj0b6ny4lrp/5,0t7hyu660p7bja8/1,a9sdxr2f6l0ngql/24,zxvn4kcvil8onmd/6,wc3yesvzcawev2b/18,c39wrwcnjy60fx0/15,p8x7qrx57foej2v/17,aqjoi7izpzp6acv/10,lgbjckfncok88u1/21,nm9rf5ltug85eay/8,c7557xr0oa9typw/22,dfgcmyi9zlmzojy/2,zi53rt5amlnlle4/0,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,c8vfeb66wb94r09/4,6l8h1tv26zedant/7,0xtz9sah11iwzfb/19,867rdbxwrn1tlom/13,9omx3hyvbsi6s4z/14,lje1kpehfxsqxg6/3,ida8bqy4xp5417p/23,h53qagtbagigq4f/12,Hindi,Chinese,Thai,Russian,Japanese,Tamil,Chinese,Hebrew,Hebrew,Hindi,Japanese,Tamil,Japanese,Russian,Russian,Hebrew,Hindi,Thai,Tamil,Chinese,Latin,Latin,Thai,Japanese,Hindi,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,Skip,
single-noskip,additive,xzadddndcont63h/11,867rdbxwrn1tlom/13,wx0obc7c8f6ce6w/16,zi53rt5amlnlle4/0,lgbjckfncok88u1/21,c7557xr0oa9typw/22,p8x7qrx57foej2v/17,nm9rf5ltug85eay/8,aqjoi7izpzp6acv/10,9v2qvj0b6ny4lrp/5,0t7hyu660p7bja8/1,ida8bqy4xp5417p/23,wc3yesvzcawev2b/18,0xtz9sah11iwzfb/19,9omx3hyvbsi6s4z/14,a9sdxr2f6l0ngql/24,lje1kpehfxsqxg6/3,c8vfeb66wb94r09/4,6l8h1tv26zedant/7,zxvn4kcvil8onmd/6,dfgcmyi9zlmzojy/2,2e3tfgr5x7rfryb/9,m5vgbt7e802e612/20,c39wrwcnjy60fx0/15,h53qagtbagigq4f/12,Hindi,Latin,Hebrew,Russian,Japanese,Japanese,Hebrew,Tamil,Hindi,Thai,Russian,Japanese,Chinese,Chinese,Latin,Japanese,Thai,Thai,Tamil,Tamil,Russian,Hindi,Chinese,Hebrew,Hindi,Hindi,Latin,Hebrew,Russian,Chinese,Japanese,Hebrew,Tamil,Hindi,Thai,Russian,Japanese,Chinese,Chinese,Russian,Japanese,Tamil,Hebrew,Thai,Tamil,Russian,Hindi,Japanese,Hebrew,Hindi,This task is really challenging.
single-noskip,additive,dfgcmyi9zlmzojy/2,h53qagtbagigq4f/12,9v2qvj0b6ny4lrp/5,lgbjckfncok88u1/21,867rdbxwrn1tlom/13,wx0obc7c8f6ce6w/16,c39wrwcnjy60fx0/15,wc3yesvzcawev2b/18,m5vgbt7e802e612/20,c8vfeb66wb94r09/4,aqjoi7izpzp6acv/10,0t7hyu660p7bja8/1,p8x7qrx57foej2v/17,nm9rf5ltug85eay/8,a9sdxr2f6l0ngql/24,2e3tfgr5x7rfryb/9,6l8h1tv26zedant/7,zxvn4kcvil8onmd/6,ida8bqy4xp5417p/23,0xtz9sah11iwzfb/19,lje1kpehfxsqxg6/3,zi53rt5amlnlle4/0,xzadddndcont63h/11,c7557xr0oa9typw/22,9omx3hyvbsi6s4z/14,Russian,Hindi,Thai,Japanese,Latin,Hebrew,Hebrew,Chinese,Chinese,Thai,Hindi,Russian,Hebrew,Tamil,Japanese,Hindi,Tamil,Tamil,Japanese,Chinese,Thai,Russian,Hindi,Japanese,Latin,Russian,Hindi,Thai,Japanese,Latin,Hebrew,Hebrew,Chinese,Chinese,Thai,Hindi,Russian,Hebrew,Tamil,Japanese,Hindi,Tamil,Tamil,Japanese,Chinese,Tamil,Russian,Hindi,Japanese,Latin,
subset,none,dfgcmyi9zlmzojy/2,9omx3hyvbsi6s4z/14,wc3yesvzcawev2b/18,aqjoi7izpzp6acv/10,p8x7qrx57foej2v/17,6l8h1tv26zedant/7,lje1kpehfxsqxg6/3,c39wrwcnjy60fx0/15,ida8bqy4xp5417p/23,c8vfeb66wb94r09/4,0t7hyu660p7bja8/1,2e3tfgr5x7rfryb/9,m5vgbt7e802e612/20,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,nm9rf5ltug85eay/8,zi53rt5amlnlle4/0,lgbjckfncok88u1/21,c7557xr0oa9typw/22,a9sdxr2f6l0ngql/24,zxvn4kcvil8onmd/6,h53qagtbagigq4f/12,9v2qvj0b6ny4lrp/5,867rdbxwrn1tlom/13,0xtz9sah11iwzfb/19,Russian,Latin,Chinese,Hindi,Hebrew,Tamil,Thai,Hebrew,Japanese,Thai,Russian,Hindi,Chinese,Hebrew,Hindi,Tamil,Russian,Japanese,Japanese,Japanese,Tamil,Hindi,Thai,Latin,Chinese,Hebrew|Latin,Hebrew|Russian,Japanese|Chinese|Thai,Hindi,Chinese|Hebrew|Russian|Thai,Tamil,Hindi|Tamil|Hebrew|Russian|Latin|Thai,Hindi|Hebrew|Russian|Latin,Japanese|Chinese|Thai,Hebrew|Russian|Latin|Thai,Hebrew|Russian|Latin,Hindi,Japanese|Chinese|Thai,Hebrew|Russian|Latin,Hindi,Tamil,Hebrew|Russian,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Japanese|Chinese,Tamil,Hindi,Hebrew|Russian|Latin,Hebrew|Russian|Latin|Thai,Japanese|Chinese|Thai,
subset,multiplicative,zxvn4kcvil8onmd/6,zi53rt5amlnlle4/0,p8x7qrx57foej2v/17,0xtz9sah11iwzfb/19,m5vgbt7e802e612/20,h53qagtbagigq4f/12,ida8bqy4xp5417p/23,6l8h1tv26zedant/7,aqjoi7izpzp6acv/10,0t7hyu660p7bja8/1,xzadddndcont63h/11,dfgcmyi9zlmzojy/2,nm9rf5ltug85eay/8,lje1kpehfxsqxg6/3,9v2qvj0b6ny4lrp/5,c39wrwcnjy60fx0/15,wx0obc7c8f6ce6w/16,867rdbxwrn1tlom/13,c8vfeb66wb94r09/4,9omx3hyvbsi6s4z/14,2e3tfgr5x7rfryb/9,a9sdxr2f6l0ngql/24,wc3yesvzcawev2b/18,c7557xr0oa9typw/22,lgbjckfncok88u1/21,Tamil,Russian,Hebrew,Chinese,Chinese,Hindi,Japanese,Tamil,Hindi,Russian,Hindi,Russian,Tamil,Thai,Thai,Hebrew,Hebrew,Latin,Thai,Latin,Hindi,Japanese,Chinese,Japanese,Japanese,Tamil,Hebrew|Latin,Thai|Hebrew|Latin,Russian|Chinese|Japanese|Thai,Russian|Chinese|Japanese|Thai,Hindi,Russian|Chinese|Japanese|Thai|Hebrew,Tamil,Hindi,Thai|Hebrew|Latin,Hindi,Thai|Hebrew|Latin,Tamil,Thai|Hebrew|Latin,Thai|Hebrew|Latin,Thai|Hebrew|Latin,Thai|Hebrew|Latin,Thai|Hebrew|Latin,Russian|Thai|Hebrew,Hebrew|Latin,Hindi,Russian|Chinese|Japanese|Thai,Russian|Chinese|Japanese|Thai,Russian|Chinese|Japanese|Thai,Russian|Chinese|Japanese|Thai,
single-noskip,additive,6l8h1tv26zedant/7,9omx3hyvbsi6s4z/14,zxvn4kcvil8onmd/6,c39wrwcnjy60fx0/15,wx0obc7c8f6ce6w/16,lje1kpehfxsqxg6/3,wc3yesvzcawev2b/18,lgbjckfncok88u1/21,h53qagtbagigq4f/12,m5vgbt7e802e612/20,zi53rt5amlnlle4/0,2e3tfgr5x7rfryb/9,0xtz9sah11iwzfb/19,ida8bqy4xp5417p/23,nm9rf5ltug85eay/8,p8x7qrx57foej2v/17,867rdbxwrn1tlom/13,xzadddndcont63h/11,c7557xr0oa9typw/22,a9sdxr2f6l0ngql/24,0t7hyu660p7bja8/1,9v2qvj0b6ny4lrp/5,aqjoi7izpzp6acv/10,c8vfeb66wb94r09/4,dfgcmyi9zlmzojy/2,Tamil,Latin,Tamil,Hebrew,Hebrew,Thai,Chinese,Japanese,Hindi,Chinese,Russian,Hindi,Chinese,Japanese,Tamil,Hebrew,Latin,Hindi,Japanese,Japanese,Russian,Thai,Hindi,Thai,Russian,Hindi,Latin,Hindi,Hebrew,Hebrew,Hindi,Chinese,Japanese,Tamil,Chinese,Russian,Tamil,Chinese,Japanese,Hindi,Hebrew,Latin,Tamil,Japanese,Japanese,Russian,Hebrew,Tamil,Hebrew,Hebrew,
single-noskip,additive,lgbjckfncok88u1/21,0xtz9sah11iwzfb/19,a9sdxr2f6l0ngql/24,h53qagtbagigq4f/12,c7557xr0oa9typw/22,nm9rf5ltug85eay/8,zi53rt5amlnlle4/0,dfgcmyi9zlmzojy/2,aqjoi7izpzp6acv/10,zxvn4kcvil8onmd/6,wc3yesvzcawev2b/18,ida8bqy4xp5417p/23,p8x7qrx57foej2v/17,lje1kpehfxsqxg6/3,6l8h1tv26zedant/7,2e3tfgr5x7rfryb/9,c39wrwcnjy60fx0/15,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,867rdbxwrn1tlom/13,9omx3hyvbsi6s4z/14,m5vgbt7e802e612/20,0t7hyu660p7bja8/1,9v2qvj0b6ny4lrp/5,c8vfeb66wb94r09/4,Japanese,Chinese,Japanese,Hindi,Japanese,Tamil,Russian,Russian,Hindi,Tamil,Chinese,Japanese,Hebrew,Thai,Tamil,Hindi,Hebrew,Hebrew,Hindi,Latin,Latin,Chinese,Russian,Thai,Thai,Japanese,Chinese,Chinese,Tamil,Chinese,Tamil,Russian,Russian,Hindi,Tamil,Chinese,Japanese,Hebrew,Hindi,Tamil,Hindi,Hindi,Hindi,Tamil,Latin,Latin,Chinese,Russian,Hindi,Thai,
single-noskip,additive,lgbjckfncok88u1/21,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,h53qagtbagigq4f/12,wx0obc7c8f6ce6w/16,lje1kpehfxsqxg6/3,0xtz9sah11iwzfb/19,xzadddndcont63h/11,a9sdxr2f6l0ngql/24,9omx3hyvbsi6s4z/14,wc3yesvzcawev2b/18,aqjoi7izpzp6acv/10,nm9rf5ltug85eay/8,6l8h1tv26zedant/7,c8vfeb66wb94r09/4,p8x7qrx57foej2v/17,9v2qvj0b6ny4lrp/5,zxvn4kcvil8onmd/6,dfgcmyi9zlmzojy/2,ida8bqy4xp5417p/23,2e3tfgr5x7rfryb/9,867rdbxwrn1tlom/13,c7557xr0oa9typw/22,zi53rt5amlnlle4/0,0t7hyu660p7bja8/1,Japanese,Hebrew,Chinese,Hindi,Hebrew,Thai,Chinese,Hindi,Japanese,Latin,Chinese,Hindi,Tamil,Tamil,Thai,Hebrew,Thai,Tamil,Russian,Japanese,Hindi,Latin,Japanese,Russian,Russian,Thai,Hebrew,Japanese,Hebrew,Hindi,Tamil,Chinese,Hebrew,Japanese,Latin,Thai,Hebrew,Tamil,Tamil,Hindi,Tamil,Tamil,Tamil,Russian,Japanese,Russian,Latin,Chinese,Russian,Hindi,
single-noskip,additive,zi53rt5amlnlle4/0,h53qagtbagigq4f/12,0xtz9sah11iwzfb/19,2e3tfgr5x7rfryb/9,ida8bqy4xp5417p/23,9omx3hyvbsi6s4z/14,nm9rf5ltug85eay/8,dfgcmyi9zlmzojy/2,zxvn4kcvil8onmd/6,c8vfeb66wb94r09/4,9v2qvj0b6ny4lrp/5,p8x7qrx57foej2v/17,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,0t7hyu660p7bja8/1,867rdbxwrn1tlom/13,lgbjckfncok88u1/21,c39wrwcnjy60fx0/15,a9sdxr2f6l0ngql/24,6l8h1tv26zedant/7,wc3yesvzcawev2b/18,c7557xr0oa9typw/22,lje1kpehfxsqxg6/3,m5vgbt7e802e612/20,aqjoi7izpzp6acv/10,Russian,Hindi,Chinese,Hindi,Japanese,Latin,Tamil,Russian,Tamil,Thai,Thai,Hebrew,Hebrew,Hindi,Russian,Latin,Japanese,Hebrew,Japanese,Tamil,Chinese,Japanese,Thai,Chinese,Hindi,Russian,Hebrew,Japanese,Hebrew,Japanese,Latin,Hindi,Russian,Tamil,Hebrew,Hindi,Hebrew,Hebrew,Hebrew,Russian,Latin,Japanese,Hebrew,Japanese,Tamil,Japanese,Japanese,Thai,Japanese,Hebrew,"Some of this I recognized, some I've never seen."
subset,none,p8x7qrx57foej2v/17,2e3tfgr5x7rfryb/9,a9sdxr2f6l0ngql/24,wc3yesvzcawev2b/18,c39wrwcnjy60fx0/15,c8vfeb66wb94r09/4,9v2qvj0b6ny4lrp/5,wx0obc7c8f6ce6w/16,xzadddndcont63h/11,lgbjckfncok88u1/21,lje1kpehfxsqxg6/3,dfgcmyi9zlmzojy/2,aqjoi7izpzp6acv/10,0xtz9sah11iwzfb/19,zi53rt5amlnlle4/0,867rdbxwrn1tlom/13,h53qagtbagigq4f/12,0t7hyu660p7bja8/1,nm9rf5ltug85eay/8,9omx3hyvbsi6s4z/14,ida8bqy4xp5417p/23,c7557xr0oa9typw/22,6l8h1tv26zedant/7,m5vgbt7e802e612/20,zxvn4kcvil8onmd/6,Hebrew,Hindi,Japanese,Chinese,Hebrew,Thai,Thai,Hebrew,Hindi,Japanese,Thai,Russian,Hindi,Chinese,Russian,Latin,Hindi,Russian,Tamil,Latin,Japanese,Japanese,Tamil,Chinese,Tamil,Hebrew,Hindi|Thai|Tamil,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Tamil|Russian|Hebrew,Hindi|Thai|Tamil,Hindi|Thai|Tamil,Russian|Hebrew,Hindi|Thai|Tamil,Japanese|Chinese|Thai,Hindi|Thai|Tamil|Russian,Latin|Russian|Hebrew,Hindi|Thai|Tamil,Japanese|Chinese|Thai,Russian,Latin|Russian|Hebrew,Hindi|Thai|Tamil,Latin|Russian|Hebrew,Hindi|Thai|Tamil,Latin|Russian,Japanese|Chinese|Thai,Japanese|Chinese|Thai,Hindi|Thai|Tamil,Japanese|Chinese|Thai,Hindi|Thai|Tamil,
subset,multiplicative,aqjoi7izpzp6acv/10,6l8h1tv26zedant/7,wx0obc7c8f6ce6w/16,a9sdxr2f6l0ngql/24,lje1kpehfxsqxg6/3,c8vfeb66wb94r09/4,lgbjckfncok88u1/21,0t7hyu660p7bja8/1,p8x7qrx57foej2v/17,9v2qvj0b6ny4lrp/5,c7557xr0oa9typw/22,h53qagtbagigq4f/12,xzadddndcont63h/11,867rdbxwrn1tlom/13,dfgcmyi9zlmzojy/2,wc3yesvzcawev2b/18,c39wrwcnjy60fx0/15,m5vgbt7e802e612/20,ida8bqy4xp5417p/23,zxvn4kcvil8onmd/6,2e3tfgr5x7rfryb/9,0xtz9sah11iwzfb/19,9omx3hyvbsi6s4z/14,zi53rt5amlnlle4/0,nm9rf5ltug85eay/8,Hindi,Tamil,Hebrew,Japanese,Thai,Thai,Japanese,Russian,Hebrew,Thai,Japanese,Hindi,Hindi,Latin,Russian,Chinese,Hebrew,Chinese,Japanese,Tamil,Hindi,Chinese,Latin,Russian,Tamil,Tamil|Hindi,Tamil|Hindi|Thai,Hebrew,Chinese|Japanese,Tamil|Hindi|Thai,Russian|Thai,Chinese|Japanese,Russian,Hebrew,Tamil|Russian|Thai,Chinese|Japanese,Tamil|Hindi|Thai,Tamil|Hindi|Thai,Tamil|Latin|Hindi|Thai,Russian,Chinese|Japanese,Hebrew,Chinese|Japanese,Chinese|Japanese|Hindi|Thai,Tamil|Hindi|Thai,Tamil|Hindi|Thai,Chinese|Japanese,Tamil|Latin|Hindi,Russian,Tamil|Hindi|Thai,
